From	Entry	Entry Name	Protein names	Gene Names	Organism
"P28062	Proteasome subunit beta type-8"	P28062	PSB8_HUMAN	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	PSMB8 LMP7 PSMB5i RING10 Y2	Homo sapiens (Human)
"Q8TD16	Protein bicaudal D homolog 2"	Q8TD16	BICD2_HUMAN	Protein bicaudal D homolog 2 (Bic-D 2)	BICD2 KIAA0699	Homo sapiens (Human)
"Q9Y570	Protein phosphatase methylesterase 1"	Q9Y570	PPME1_HUMAN	Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.89)	PPME1 PME1	Homo sapiens (Human)
"E9PD50	Protein SMG7"	E9PD50	E9PD50_HUMAN	Nonsense-mediated mRNA decay factor	SMG7	Homo sapiens (Human)
"A0A2R8YH03	Protein TASOR 2"	A0A2R8YH03	A0A2R8YH03_HUMAN	Transcription activation suppressor family member 2	TASOR2	Homo sapiens (Human)
"A0A1B0GUS7	Protein unc-13 homolog B"	A0A1B0GUS7	A0A1B0GUS7_HUMAN	Unc-13 homolog B	UNC13B	Homo sapiens (Human)
"B9EGQ5	Protein Wiz"	B9EGQ5	B9EGQ5_HUMAN	WIZ protein	WIZ	Homo sapiens (Human)
"Q99497	Protein/nucleic acid deglycase DJ-1"	Q99497	PARK7_HUMAN	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1 (DJ-1)) (Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124))	PARK7	Homo sapiens (Human)
"P00491	Purine nucleoside phosphorylase"	P00491	PNPH_HUMAN	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP NP	Homo sapiens (Human)
"Q9BYX7	Putative beta-actin-like protein 3"	Q9BYX7	ACTBM_HUMAN	Putative beta-actin-like protein 3 (Kappa-actin) (POTE ankyrin domain family member K)	POTEKP ACTBL3	Homo sapiens (Human)
"Q58FF8	Putative heat shock protein HSP 90-beta 2"	Q58FF8	H90B2_HUMAN	Putative heat shock protein HSP 90-beta 2 (Heat shock protein 90-beta b (Heat shock protein 90Bb))	HSP90AB2P HSP90BB	Homo sapiens (Human)
"P11177	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"	P11177	ODPB_HUMAN	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)	PDHB PHE1B	Homo sapiens (Human)
"P14618	Pyruvate kinase PKM"	P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein (CTHBP)) (Opa-interacting protein 3 (OIP-3)) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2 (EC 2.7.11.1)) (Thyroid hormone-binding protein 1 (THBP1)) (Tumor M2-PK) (Tyrosine-protein kinase PKM2 (EC 2.7.10.2)) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)
"P50395	Rab GDP dissociation inhibitor beta"	P50395	GDIB_HUMAN	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2 (GDI-2))	GDI2 RABGDIB	Homo sapiens (Human)
"H0YFN7	RAB6A-GEF complex partner protein 1 (Fragment)"	H0YFN7	H0YFN7_HUMAN	Guanine nucleotide exchange factor subunit RIC1 (Protein RIC1 homolog) (RAB6A-GEF complex partner protein 1)	RIC1	Homo sapiens (Human)
"A0A2R8Y5S7	Radixin"	A0A2R8Y5S7	A0A2R8Y5S7_HUMAN	Radixin	RDX	Homo sapiens (Human)
"O43504	Ragulator complex protein LAMTOR5"	O43504	LTOR5_HUMAN	Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein (HBV X-interacting protein) (HBX-interacting protein)) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)	LAMTOR5 HBXIP XIP	Homo sapiens (Human)
"P46060	Ran GTPase-activating protein 1"	P46060	RAGP1_HUMAN	Ran GTPase-activating protein 1 (RanGAP1)	RANGAP1 KIAA1835 SD	Homo sapiens (Human)
"A0A5F9ZHG7	Rap guanine nucleotide exchange factor 6"	A0A5F9ZHG7	A0A5F9ZHG7_HUMAN	Rap guanine nucleotide exchange factor 6	RAPGEF6	Homo sapiens (Human)
"E7END7	Ras-related protein Rab-1A"	E7END7	E7END7_HUMAN	small monomeric GTPase (EC 3.6.5.2)	RAB1A	Homo sapiens (Human)
"A0A494C0Z5	Ras-related protein Rab-33B"	A0A494C0Z5	A0A494C0Z5_HUMAN	small monomeric GTPase (EC 3.6.5.2)	RAB33B	Homo sapiens (Human)
"P51151	Ras-related protein Rab-9A"	P51151	RAB9A_HUMAN	Ras-related protein Rab-9A (EC 3.6.5.2)	RAB9A RAB9	Homo sapiens (Human)
"P63244	Receptor of activated protein C kinase 1"	P63244	RACK1_HUMAN	Small ribosomal subunit protein RACK1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein (HLC-7)) (Receptor for activated C kinase) (Receptor for activated C kinase 1) (Receptor of activated protein C kinase 1)	RACK1 GNB2L1	Homo sapiens (Human)
"P41440	Reduced folate transporter"	P41440	S19A1_HUMAN	Reduced folate transporter (FOLT) (Cyclic dinucleotide:anion antiporter SLC19A1) (Folate:anion antiporter SLC19A1) (Intestinal folate carrier 1 (IFC-1)) (Placental folate transporter) (Reduced folate carrier protein (RFC) (hRFC)) (Reduced folate transporter 1 (RFT-1)) (Solute carrier family 19 member 1 (hSLC19A1))	SLC19A1 FLOT1 RFC1	Homo sapiens (Human)
"Q9NS28	Regulator of G-protein signaling 18"	Q9NS28	RGS18_HUMAN	Regulator of G protein signaling 18 (RGS18)	RGS18 RGS13	Homo sapiens (Human)
"P35244	Replication protein A 14 kDa subunit"	P35244	RFA3_HUMAN	Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3 (RF-A protein 3))	RPA3 REPA3 RPA14	Homo sapiens (Human)
"P52565	Rho GDP-dissociation inhibitor 1"	P52565	GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)
"Q8N4T4	Rho guanine nucleotide exchange factor 39"	Q8N4T4	ARG39_HUMAN	Rho guanine nucleotide exchange factor 39	ARHGEF39 C9orf100	Homo sapiens (Human)
"O75116	Rho-associated protein kinase 2"	O75116	ROCK2_HUMAN	Rho-associated protein kinase 2 (EC 2.7.11.39) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II (ROCK-II)) (p164 ROCK-2)	ROCK2 KIAA0619	Homo sapiens (Human)
"Q8N0T1	Ribosomal biogenesis factor"	Q8N0T1	RBIS_HUMAN	Ribosomal biogenesis factor	RBIS C8orf59	Homo sapiens (Human)
"Q92979	Ribosomal RNA small subunit methyltransferase NEP1"	Q92979	NEP1_HUMAN	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	EMG1 C2F	Homo sapiens (Human)
"Q96E39	RNA binding motif protein, X-linked-like-1"	Q96E39	RMXL1_HUMAN	RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1)	RBMXL1	Homo sapiens (Human)
"Q08J23	RNA cytosine C(5)-methyltransferase NSUN2"	Q08J23	NSUN2_HUMAN	RNA cytosine C(5)-methyltransferase NSUN2 (EC 2.1.1.-) (Myc-induced SUN domain-containing protein (Misu)) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (mRNA cytosine C(5)-methyltransferase (EC 2.1.1.-)) (tRNA cytosine C(5)-methyltransferase (EC 2.1.1.-) (EC 2.1.1.203)) (tRNA methyltransferase 4 homolog (hTrm4))	NSUN2 SAKI TRM4	Homo sapiens (Human)
